Timestamp,Protocol,Connection_Type,Local_Address,Local_DNS,Local_Port,Remote_Address,Remote_DNS,Remote_Port,Process_Name,Process_Owner,PID
2024-12-01 10:08:16,"IPv4, UDP",OTHER,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,56262,10.125.189.22,ldtdsi002.barcapetf.com,53,Unknown,Unknown,N/A
2024-12-01 10:08:16,"IPv4, UDP",OTHER,10.125.189.22,ldtdsi002.barcapetf.com,53,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,36330,Unknown,Unknown,N/A
2024-12-01 10:08:16,"IPv4, UDP",OTHER,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,36330,10.125.189.22,ldtdsi002.barcapetf.com,53,Unknown,Unknown,N/A
2024-12-01 10:08:17,"IPv4, UDP",OTHER,10.125.189.22,platformntp.etf.barcapetf.com,53,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,54246,Unknown,Unknown,N/A
2024-12-01 10:08:17,"IPv4, UDP",OTHER,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,54246,10.125.189.22,ldtdsi002.barcapetf.com,53,Unknown,Unknown,N/A
2024-12-01 10:08:17,"IPv4, UDP",OTHER,10.125.189.22,platformntp.etf.barcapetf.com,53,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,54971,Unknown,Unknown,N/A
2024-12-01 10:08:17,"IPv4, UDP",OTHER,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,54971,10.125.189.22,ldtdsi002.barcapetf.com,53,Unknown,Unknown,N/A
2024-12-01 10:08:17,"IPv4, UDP",OTHER,10.125.189.22,ldtdsi002.barcapetf.com,53,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,34616,Unknown,Unknown,N/A
2024-12-01 10:08:17,"IPv4, UDP",OTHER,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,34616,10.125.189.22,platformntp.etf.barcapetf.com,53,Unknown,Unknown,N/A
2024-12-01 10:08:18,"IPv4, UDP",OTHER,10.125.189.22,ldtdsi002.barcapetf.com,53,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,58379,Unknown,Unknown,N/A
2024-12-01 10:08:18,"IPv4, UDP",OTHER,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,58379,10.125.189.22,platformntp.etf.barcapetf.com,53,Unknown,Unknown,N/A
2024-12-01 10:08:18,"IPv4, TCP, SSHD",ACK-PSH,10.232.135.174,Unknown,50804,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,22,sshd,mukherjeen_eng,735448
2024-12-01 10:08:18,"IPv4, UDP",OTHER,30.4.1.2,ldnsls03.ldn.bzwint.com,123,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,49700,Unknown,Unknown,N/A
2024-12-01 10:08:18,"IPv4, UDP",OTHER,10.125.189.22,ldtdsi002.barcapetf.com,53,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,37233,Unknown,Unknown,N/A
2024-12-01 10:08:19,"IPv4, UDP",OTHER,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,37233,10.125.189.22,platformntp.etf.barcapetf.com,53,Unknown,Unknown,N/A
2024-12-01 10:08:19,"IPv4, UDP",OTHER,10.125.189.22,ldtdsi002.barcapetf.com,53,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,51997,Unknown,Unknown,N/A
2024-12-01 10:08:19,"IPv4, UDP",OTHER,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,51997,10.125.189.22,platformntp.etf.barcapetf.com,53,Unknown,Unknown,N/A
2024-12-01 10:08:19,"IPv4, UDP",OTHER,10.125.189.22,platformntp.etf.barcapetf.com,53,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,57431,Unknown,Unknown,N/A
2024-12-01 10:08:19,"IPv4, UDP",OTHER,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,57431,10.125.189.22,platformntp.etf.barcapetf.com,53,Unknown,Unknown,N/A
2024-12-01 10:08:20,"IPv4, UDP",OTHER,10.125.189.22,platformntp.etf.barcapetf.com,53,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,59871,Unknown,Unknown,N/A
2024-12-01 10:08:20,"IPv4, UDP",OTHER,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,59871,10.125.189.22,platformntp.etf.barcapetf.com,53,Unknown,Unknown,N/A
2024-12-01 10:08:20,"IPv4, UDP",OTHER,10.125.189.22,ldtdsi002.barcapetf.com,53,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,34189,Unknown,Unknown,N/A
2024-12-01 10:08:20,"IPv4, UDP",OTHER,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,34189,10.125.189.22,platformntp.etf.barcapetf.com,53,Unknown,Unknown,N/A
2024-12-01 10:08:21,"IPv4, UDP",OTHER,10.125.189.22,ldtdsi002.barcapetf.com,53,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,59279,Unknown,Unknown,N/A
2024-12-01 10:08:21,"IPv4, UDP",OTHER,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,59279,10.125.189.22,platformntp.etf.barcapetf.com,53,Unknown,Unknown,N/A
2024-12-01 10:08:21,"IPv4, UDP",OTHER,10.125.189.22,ldtdsi002.barcapetf.com,53,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,35086,Unknown,Unknown,N/A
2024-12-01 10:08:21,"IPv4, UDP",OTHER,10.123.198.159,ldtpsr02z03855.etf.barcapetf.com,35086,10.125.189.22,platformntp.etf.barcapetf.com,53,Unknown,Unknown,N/A
