tod,timestamp,Run,Interval,Xfersize,Threads,Reqrate,Rate,Rate_std,Rate_max,Resp,Resp_std,Resp_max,MB/sec,MB_read,MB_write,Read_rate,Read_rate_std,Read_rate_max,Read_resp,Read_resp_std,Read_resp_max,Write_rate,Write_rate_std,Write_rate_max,Write_resp,Write_resp_std,Write_resp_max,Mkdir_rate,Mkdir_rate_std,Mkdir_rate_max,Mkdir_resp,Mkdir_resp_std,Mkdir_resp_max,Rmdir_rate,Rmdir_rate_std,Rmdir_rate_max,Rmdir_resp,Rmdir_resp_std,Rmdir_resp_max,Create_rate,Create_rate_std,Create_rate_max,Create_resp,Create_resp_std,Create_resp_max,Open_rate,Open_rate_std,Open_rate_max,Open_resp,Open_resp_std,Open_resp_max,Close_rate,Close_rate_std,Close_rate_max,Close_resp,Close_resp_std,Close_resp_max,Delete_rate,Delete_rate_std,Delete_rate_max,Delete_resp,Delete_resp_std,Delete_resp_max,Getattr_rate,Getattr_rate_std,Getattr_rate_max,Getattr_resp,Getattr_resp_std,Getattr_resp_max,Setattr_rate,Setattr_rate_std,Setattr_rate_max,Setattr_resp,Setattr_resp_std,Setattr_resp_max,Access_rate,Access_rate_std,Access_rate_max,Access_resp,Access_resp_std,Access_resp_max,Compratio,Dedupratio,cpu_used,cpu_user,cpu_kernel,cpu_wait,cpu_idle
13:56:44.005,12/05/2024-13:56:44-GMT,rd1,533,111850837,n/a,9999988,6,n/a,n/a,8392.799,n/a,n/a,640.0156,640,0.0156,5,0,0,10071.3298,12031.325,42072.828,1,0,0,0.145,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.036,0.0094,264.711,5,0,0,0.0174,0.0096,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.4928,0.0313,0.4614,0,0
13:56:45.005,12/05/2024-13:56:45-GMT,rd1,534,103255118,n/a,9999988,13,n/a,n/a,9062.0724,n/a,n/a,1280.1328,1280,0.1328,10,0,0,11780.6544,7959.0774,42072.828,3,0,0,0.1323,0.0387,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0347,0.0084,264.711,10,0,0,0.0115,0.0028,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.4452,0.0312,0.414,0,0
13:56:46.006,12/05/2024-13:56:46-GMT,rd1,535,92285440,n/a,9999988,16,n/a,n/a,8207.4528,n/a,n/a,1408.1641,1408,0.1641,11,0,0,11938.0475,7358.5806,42072.828,5,0,0,0.1444,0.0825,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.0302,0.0043,264.711,11,0,0,0.0104,0.0027,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.461,0.0157,0.4453,0,0
13:56:47.005,12/05/2024-13:56:47-GMT,rd1,536,103264571,n/a,9999988,13,n/a,n/a,7943.2731,n/a,n/a,1280.25,1280,0.25,10,0,0,10326.2078,7208.8639,42072.828,3,0,0,0.1573,0.0429,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.029,0.0077,264.711,10,0,0,0.0093,0.0026,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.3596,0.0156,0.344,0,0
13:56:48.005,12/05/2024-13:56:48-GMT,rd1,537,134217728,n/a,9999988,5,n/a,n/a,11191.8194,n/a,n/a,640,640,0,5,0,0,11191.8194,11120.4067,42072.828,0,0,0,0,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.031,0.013,264.711,5,0,0,0.0108,0.0048,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.4919,0.0156,0.4763,0,0
13:56:49.005,12/05/2024-13:56:49-GMT,rd1,538,115062491,n/a,9999988,7,n/a,n/a,11379.4716,n/a,n/a,768.125,768,0.125,6,0,0,13276.0047,8339.4802,42072.828,1,0,0,0.273,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0395,0.0125,264.711,6,0,0,0.0102,0.0025,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.5395,0.0548,0.4848,0,0
13:56:50.005,12/05/2024-13:56:50-GMT,rd1,539,111859029,n/a,9999988,6,n/a,n/a,7447.4047,n/a,n/a,640.0625,640,0.0625,5,0,0,8936.8434,8282.0308,42072.828,1,0,0,0.211,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0358,0.0084,264.711,5,0,0,0.0146,0.0105,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.445,0.0312,0.4138,0,0
13:56:51.006,12/05/2024-13:56:51-GMT,rd1,540,134217728,n/a,9999988,5,n/a,n/a,10717.4218,n/a,n/a,640,640,0,5,0,0,10717.4218,9635.0123,42072.828,0,0,0,0,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0312,0.0054,264.711,5,0,0,0.0112,0.0031,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.4298,0.0157,0.4141,0,0
13:56:52.006,12/05/2024-13:56:52-GMT,rd1,541,100673536,n/a,9999988,8,n/a,n/a,12936.2172,n/a,n/a,768.0781,768,0.0781,6,0,0,17248.2058,5452.4933,42072.828,2,0,0,0.2515,0.2312,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.044,0.0062,264.711,6,0,0,0.0135,0.0019,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.3832,0.0234,0.3598,0,0
13:56:53.005,12/05/2024-13:56:53-GMT,rd1,542,103248187,n/a,9999988,13,n/a,n/a,8796.6731,n/a,n/a,1280.0469,1280,0.0469,10,0,0,11435.6453,7732.2732,42072.828,3,0,0,0.099,0.0111,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0345,0.013,264.711,10,0,0,0.0117,0.0045,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.5155,0.0469,0.4686,0,0
13:56:54.028,12/05/2024-13:56:54-GMT,rd1,543,134217728,n/a,9999988,14,n/a,n/a,10164.2707,n/a,n/a,1792,1792,0,14,0,0,10164.2707,9264.4512,42072.828,0,0,0,0,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0.0295,0.0098,264.711,14,0,0,0.0096,0.0031,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.4064,0.0234,0.383,0,0
13:56:55.005,12/05/2024-13:56:55-GMT,rd1,544,134217728,n/a,9999988,11,n/a,n/a,9258.0077,n/a,n/a,1408,1408,0,11,0,0,9258.0077,7215.3315,42072.828,0,0,0,0,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.0325,0.0113,264.711,11,0,0,0.0115,0.0042,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.8435,0.2343,0.6092,0,0
13:56:56.006,12/05/2024-13:56:56-GMT,rd1,545,134217728,n/a,9999988,6,n/a,n/a,10616.9322,n/a,n/a,768,768,0,6,0,0,10616.9322,6712.4861,42072.828,0,0,0,0,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0465,0.022,264.711,6,0,0,0.0155,0.0051,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.4374,0.0234,0.414,0,0
13:56:57.005,12/05/2024-13:56:57-GMT,rd1,546,117442560,n/a,9999988,8,n/a,n/a,10741.9122,n/a,n/a,896.0156,896,0.0156,7,0,0,12276.4579,7537.3198,42072.828,1,0,0,0.093,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.041,0.01,264.711,7,0,0,0.0111,0.0027,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.4301,0.0235,0.4065,0,0
13:56:58.005,12/05/2024-13:56:58-GMT,rd1,547,103260160,n/a,9999988,13,n/a,n/a,8462.8423,n/a,n/a,1280.1953,1280,0.1953,10,0,0,11001.6142,9662.9043,42072.828,3,0,0,0.2693,0.173,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0349,0.0212,264.711,10,0,0,0.0114,0.0034,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.453,0.0234,0.4296,0,0
13:56:59.005,12/05/2024-13:56:59-GMT,rd1,548,120797593,n/a,9999988,10,n/a,n/a,7906.8504,n/a,n/a,1152.0156,1152,0.0156,9,0,0,8785.3807,8161.772,42072.828,1,0,0,0.078,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.0338,0.012,264.711,9,0,0,0.0086,0.0022,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.3831,0.0156,0.3674,0,0
13:57:00.005,12/05/2024-13:57:00-GMT,rd1,549,134217728,n/a,9999988,9,n/a,n/a,10460.7119,n/a,n/a,1152,1152,0,9,0,0,10460.7119,4882.3539,42072.828,0,0,0,0,0,131661.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.037,0.0158,264.711,9,0,0,0.0124,0.0035,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.8593,0.1172,0.7421,0,0
